variante,ano,pregoes,parcial,estrategia_pct,cdi_pct,excesso_pct,spread_pct
com_quality,2014,158,True,2.09,6.95,-4.55,-9.23
com_quality,2015,246,False,13.34,13.25,0.08,-0.95
com_quality,2016,249,False,15.82,14.0,1.6,1.89
com_quality,2017,246,False,27.77,9.9,16.26,34.34
com_quality,2018,245,False,6.78,6.42,0.34,0.02
com_quality,2019,248,False,2.34,5.95,-3.41,-7.33
com_quality,2020,248,False,-1.57,2.75,-4.2,-9.77
com_quality,2021,247,False,-1.42,4.45,-5.62,-11.73
com_quality,2022,250,False,9.55,12.41,-2.54,-6.14
com_quality,2023,248,False,20.16,13.03,6.31,11.93
com_quality,2024,251,False,2.29,10.88,-7.74,-15.63
com_quality,2025,250,False,15.55,14.34,1.06,1.53
com_quality,2026,152,True,3.33,8.53,-4.79,-9.8
sem_quality,2014,158,True,4.07,6.95,-2.69,-5.85
sem_quality,2015,246,False,9.03,13.25,-3.73,-8.36
sem_quality,2016,249,False,13.07,14.0,-0.81,-2.91
sem_quality,2017,246,False,14.8,9.9,4.46,8.34
sem_quality,2018,245,False,-1.12,6.42,-7.08,-14.32
sem_quality,2019,248,False,2.83,5.95,-2.95,-6.42
sem_quality,2020,248,False,-0.79,2.75,-3.45,-8.47
sem_quality,2021,247,False,-0.42,4.45,-4.66,-10.14
sem_quality,2022,250,False,2.62,12.41,-8.71,-17.78
sem_quality,2023,248,False,22.58,13.03,8.45,16.29
sem_quality,2024,251,False,-3.48,10.88,-12.95,-25.02
sem_quality,2025,250,False,17.31,14.34,2.61,4.61
sem_quality,2026,152,True,1.97,8.53,-6.04,-12.18
