signal_index,signal_date,entry_date,exit_date,n_long,n_short,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,long_quality_mean,short_quality_mean,raw_dispersion_z,sma21_z,sma21_high_cross,bucket
0,2014-05-15,2014-05-16,2014-06-17,11,11,0.07773422036284258,0.02068925712954303,0.05561098794189499,0.027566798874020824,53.62349074203618,42.75122712234915,,,False,
1,2014-05-16,2014-05-19,2014-06-18,11,11,0.08338998668630501,0.037780972068356414,0.04377617139629118,0.021784382667250617,53.62349074203618,40.183315257527426,,,False,
2,2014-05-19,2014-05-20,2014-06-20,11,11,0.09698915589653578,0.03803448065163175,0.0566416747345912,0.02804246861258617,57.05866810864553,40.183315257527426,,,False,
3,2014-05-20,2014-05-21,2014-06-23,11,11,0.09996976366868306,0.03908526625626611,0.058433330251841796,0.02891363886272501,57.05866810864553,40.183315257527426,,,False,
4,2014-05-21,2014-05-22,2014-06-24,11,11,0.07524530704071712,0.03515890845320931,0.038605856870606636,0.01924238264632593,54.65250796622002,39.498061352331554,,,False,
5,2014-05-22,2014-05-23,2014-06-25,11,11,0.07757240630046969,0.030433499245983535,0.04536071213534375,0.022609432623005483,55.059766247620786,38.68341091262834,,,False,
6,2014-05-23,2014-05-26,2014-06-26,11,11,0.07045832464744173,0.024599819102242175,0.04425347887837502,0.022033600081007416,55.05976624762077,37.1502533496389,,,False,
7,2014-05-26,2014-05-27,2014-06-27,11,11,0.059528814782739026,0.03468063023116607,0.023687020985901728,0.011896929982794353,55.827646421123525,37.15025334963891,,,False,
8,2014-05-27,2014-05-28,2014-06-30,11,11,0.06008103062096054,0.028198384036178654,0.030604165246872327,0.015331769886489412,54.65250796622002,38.73608729186433,,,False,
9,2014-05-28,2014-05-29,2014-07-01,11,11,0.05612751527587348,0.03609961180358511,0.018713421642096963,0.009477059836287821,54.65250796622002,37.15025334963891,,,False,
10,2014-05-29,2014-05-30,2014-07-02,11,11,0.06440801682666233,0.044342591662625906,0.018588745013878034,0.009400900848903779,55.528469034977654,36.764187296428425,,,False,
11,2014-05-30,2014-06-02,2014-07-03,11,11,0.06521455971794916,0.04103203092650514,0.022801448968571083,0.011485595898152559,53.948851782033465,38.387694685479374,,,False,
12,2014-06-02,2014-06-03,2014-07-04,11,11,0.04820848266938404,0.025917194790735065,0.021146435704563878,0.01065291458034856,54.32994469164859,38.214506723366135,,,False,
13,2014-06-03,2014-06-04,2014-07-07,11,11,0.03761404347670815,0.032116672413921875,0.004938396510069574,0.002589348969940558,56.6925559409578,38.214506723366135,,,False,
14,2014-06-04,2014-06-05,2014-07-08,11,11,0.02679688707574738,0.02639080065545559,0.00025595228976690816,0.00024407202046189912,56.6925559409578,41.37541041709277,,,False,
15,2014-06-05,2014-06-06,2014-07-10,11,11,-0.02659538314278915,0.02675259379541789,-0.052543426579844524,-0.026418134321864246,56.6925559409578,40.91356144588354,,,False,
16,2014-06-06,2014-06-09,2014-07-11,11,11,-0.019364273445675786,0.009387016449417675,-0.028926926604886244,-0.014343910747644321,56.122208238776416,40.535936439375256,,,False,
17,2014-06-09,2014-06-10,2014-07-14,11,11,-0.034960666064217556,0.020419820077044425,-0.054914405289740426,-0.027600277676215743,56.48448252071612,38.76287593783677,,,False,
18,2014-06-10,2014-06-11,2014-07-15,11,11,-0.050747069108017163,0.010743715516736347,-0.06147239497901013,-0.030964228920760596,56.6925559409578,38.76287593783677,,,False,
19,2014-06-11,2014-06-13,2014-07-16,11,11,-0.04132109025254286,0.008465982530973295,-0.04993019779234659,-0.025026738304769956,54.143992650902526,38.23001367505557,,,False,
20,2014-06-13,2014-06-16,2014-07-17,11,11,-0.05327167556160233,0.006900048407779583,-0.060112718837953764,-0.03031046116954505,57.57313975723445,40.89221912749139,,,False,
21,2014-06-16,2014-06-17,2014-07-18,11,11,-0.0573701013020211,0.019436087011539354,-0.07594864057702679,-0.03844473384793995,56.87046142698962,40.2235211499381,,,False,
22,2014-06-17,2014-06-18,2014-07-21,11,11,-0.06577236111605868,0.02197839100904237,-0.08656622664785249,-0.04396907238904801,54.76597051325666,37.56131569750228,,,False,
23,2014-06-18,2014-06-20,2014-07-22,11,11,-0.05694960456673165,0.02426396498976548,-0.07985013633236132,-0.0404690375345956,56.085884185786405,36.66438612391657,,,False,
24,2014-06-20,2014-06-23,2014-07-23,11,11,-0.04658317173818163,0.027417319122867153,-0.07251929123742007,-0.03669213465524061,57.93541403917414,38.23001367505556,,,False,
25,2014-06-23,2014-06-24,2014-07-24,11,11,-0.03689945225862058,0.022302065904738818,-0.058294034207873116,-0.02933295349317849,58.71999128037737,38.23001367505556,,,False,
26,2014-06-24,2014-06-25,2014-07-25,11,11,-0.03625842003220878,0.013938534841669058,-0.049709417920204384,-0.02491199690625985,56.355257315030556,38.403201637168806,,,False,
