entry_threshold,holding_days,events,active_days,active_fraction,active_excess_cagr,active_excess_sharpe,calendar_excess_cagr,hit_rate,mean_event_return,relative_max_drawdown
1.0,5,21,105,0.03456221198156682,0.576712939979956,3.564919664395249,0.015862124577195047,0.5714285714285714,0.009342564592910052,-0.042594101717190136
1.0,10,21,210,0.06912442396313365,0.019830304158773293,0.2233070214660243,0.0013582657317590119,0.42857142857142855,0.0010824025383972403,-0.11398125493292077
1.0,15,21,315,0.10368663594470046,0.044704673379234894,0.44632598636325505,0.004544952944823599,0.47619047619047616,0.0029867418138750696,-0.10028247577174765
1.0,21,21,441,0.14516129032258066,0.06598602584049273,0.6230124069741176,0.009318991817418132,0.5238095238095238,0.005740053913114094,-0.10791737666578216
1.0,30,21,630,0.2073732718894009,0.050929463025211286,0.5097950601272238,0.010354502858025416,0.47619047619047616,0.00657985251794314,-0.14428850744605715
1.0,42,18,756,0.2488479262672811,0.03323157408137356,0.3635662634216101,0.008168352914842192,0.5,0.0063421835473735306,-0.1504076327181586
1.0,63,15,945,0.31105990783410137,-0.004284183139154019,0.011028027635438734,-0.0013346090398363986,0.6,-0.0002558482257667934,-0.1703114914261996
1.25,5,19,95,0.031270572745227126,-0.16984451958435576,-1.7251711106885805,-0.0058038675013945,0.42105263157894735,-0.0035595133983436647,-0.10099724588912962
1.25,10,17,170,0.05595786701777485,-0.08330158102387164,-0.7845473291038872,-0.004855207965841046,0.47058823529411764,-0.0031539798048700165,-0.10747055682445117
1.25,15,17,255,0.08393680052666228,-0.025346331669018896,-0.17452815987521317,-0.00215259628574227,0.5294117647058824,-0.0011522285680285133,-0.07235191373126748
1.25,21,17,357,0.1175115207373272,-0.021459539944940764,-0.1449250109083361,-0.00254594789739071,0.47058823529411764,-0.0012367906611606564,-0.15829752161298105
1.25,30,17,510,0.16787360105332455,-0.020154917639106484,-0.13942175413407326,-0.003412205803507873,0.5294117647058824,-0.0014621489750623736,-0.1914652018323606
1.25,42,17,714,0.2350230414746544,0.018217283571971832,0.2193373253532621,0.004251964222061977,0.47058823529411764,0.004528930050899114,-0.20308184172176724
1.25,63,13,819,0.2695852534562212,-0.0007491183970992354,0.045959299392988,-0.00020200654738533608,0.46153846153846156,0.0011625843761205756,-0.24111508941297644
1.5,5,13,65,0.021395655036208033,0.02815074988190691,0.31109258687404767,0.000594158341070461,0.46153846153846156,0.0006694384477371388,-0.04495266999199854
1.5,10,13,130,0.042791310072416065,0.1382529031561901,1.2880353167729661,0.005556622335173955,0.5384615384615384,0.0053596584604459745,-0.03666596461164073
1.5,15,13,195,0.0641869651086241,0.16252916126609418,1.4244857438783975,0.009713295708742464,0.6923076923076923,0.00926893721843809,-0.0647268260426288
1.5,21,13,273,0.08986175115207373,0.16600964141185792,1.477827737534508,0.013897310988949307,0.6923076923076923,0.013419208253494878,-0.08095896365367228
1.5,30,13,390,0.1283739302172482,0.11204038420036988,1.063086701716659,0.013726214824937966,0.6923076923076923,0.013308518845287063,-0.09759655559564262
1.5,42,13,546,0.17972350230414746,0.11571383861378104,1.087989241097486,0.01987362195790543,0.6153846153846154,0.019262213755088024,-0.11413047435916546
1.5,63,11,693,0.22811059907834103,0.06220659667065909,0.6087065111299995,0.013861307964177394,0.7272727272727273,0.015969704376560402,-0.11996492934068459
1.75,5,10,50,0.016458196181698487,0.4086404033265487,2.7454204042345722,0.0056549182672316345,0.6,0.006973924578962865,-0.02813685608962202
1.75,10,10,100,0.032916392363396975,0.20647406768489152,1.5709725475738843,0.006197602521482937,0.7,0.007619889086517085,-0.04411518662696823
1.75,15,10,150,0.04937458854509546,0.1856730401886304,1.4764115025427509,0.008444469876513372,0.5,0.010556782313915502,-0.07961840628663064
1.75,21,10,210,0.06912442396313365,0.060644661711044545,0.5643230334036078,0.004078124440562103,0.6,0.005530859518731057,-0.11947814702569448
1.75,30,10,300,0.09874917709019092,0.06691537868804476,0.6200178090143483,0.0064166473077467145,0.5,0.008435812956629162,-0.11888309946132758
1.75,42,9,378,0.12442396313364056,0.09977489738644718,0.858786740160819,0.011903697465128538,0.7777777777777778,0.016856229267831924,-0.1249433690233358
1.75,63,9,567,0.18663594470046083,0.05918148076675456,0.5547239855809465,0.010788681612257545,0.6666666666666666,0.015395149067267787,-0.13566942118021386
2.0,5,9,45,0.014812376563528637,0.11900367741989859,1.032041722192295,0.001666872286568255,0.6666666666666666,0.002377069145412728,-0.03914805623150197
2.0,10,9,90,0.029624753127057275,0.29908634799727074,2.2651922852283146,0.007781770503991314,0.7777777777777778,0.010728347299873708,-0.0370864482571418
2.0,15,9,135,0.044437129690585914,0.14952641710789472,1.282136495104758,0.0062115281063150896,0.6666666666666666,0.008977002532017213,-0.09259173355119099
2.0,21,9,189,0.06221198156682028,0.0887582446860955,0.8225106413466515,0.005304390125876912,0.7777777777777778,0.00773781726978383,-0.1010244374358249
2.0,30,9,270,0.08887425938117183,0.122704391761433,1.1017247547676285,0.010339429536152966,0.7777777777777778,0.01421625701072419,-0.085492635872361
2.0,42,8,336,0.11059907834101383,0.09535256222112087,0.8394636608912283,0.01012385626374157,0.5,0.0159846649329929,-0.11480828413544253
2.0,63,8,504,0.16589861751152074,0.07405426280247873,0.6939555718255334,0.011922395168789013,0.75,0.01915780665351166,-0.13072101520842916
2.25,5,5,25,0.008229098090849244,-0.16203316871275608,-1.8837409681616997,-0.001453655716429747,0.4,-0.0034309263312802376,-0.0383011556658579
2.25,10,5,50,0.016458196181698487,0.05384205761654459,0.682570702836857,0.0008634829956615242,0.4,0.002150914060211906,-0.03703005638862367
2.25,15,5,75,0.02468729427254773,-0.12990098199492905,-1.666092628339405,-0.003429300513750122,0.4,-0.008099563628457252,-0.0729882960141024
2.25,21,5,105,0.03456221198156682,-0.0752234067244657,-0.9320092275378158,-0.0026992223541114635,0.2,-0.006379115079094522,-0.07809180568238794
2.25,30,5,150,0.04937458854509546,-0.09581882389203644,-1.1852978874139894,-0.00496093494799088,0.4,-0.011711202344789307,-0.09256600937358794
2.25,42,5,210,0.06912442396313365,-0.07757148657571122,-0.8935816308761524,-0.005565931629458176,0.4,-0.012927774831908056,-0.10716296504481004
2.25,63,4,252,0.08294930875576037,-0.014359513066041552,-0.106617828785407,-0.0011990269261504816,0.5,-0.003073843907607232,-0.07896175692326746
2.5,5,1,5,0.0016458196181698486,-0.3336879215558809,-3.1946702448058555,-0.000667974850072306,0.0,-0.008034836230937925,-0.015245105314744989
2.5,10,1,10,0.0032916392363396972,-0.09297707824364354,-0.9361484949256379,-0.0003211714454286474,0.0,-0.0038746862078420374,-0.015245105314744989
2.5,15,1,15,0.004937458854509546,-0.3376373021547635,-4.43157070397171,-0.0020318795639020504,0.0,-0.02424190151811334,-0.025501059389040126
2.5,21,1,21,0.0069124423963133645,-0.20263102661038046,-2.352597309087631,-0.0015640135883961959,0.0,-0.018709967666907468,-0.025501059389040126
2.5,30,1,30,0.009874917709019092,-0.1013759653409727,-1.0175646257476416,-0.0010549783647177957,0.0,-0.012658651905727347,-0.025501059389040126
2.5,42,1,42,0.013824884792626729,-0.25928084220715153,-2.892176831684148,-0.004140717727282972,0.0,-0.04882362792772432,-0.05003845945064922
2.5,63,1,63,0.020737327188940093,-0.17966644280248434,-1.5934684910044945,-0.004098486478571806,0.0,-0.04833743177309913,-0.05883854779435138
