month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2008-01,2008-01-31,grid_20qvjmd3.xlsx,9959.8780653506,730.2101950858,310.7799045995,1538.5401598561,29432.8344127123,7614.5858066643,,659.9120393811,,13618.1637062303,0.0,1217.2182465673,1487.4809784656
2008-02,2008-02-29,grid_20qvjmd3.xlsx,10289.6073694319,799.9429246512,322.5315564796,1573.9042985474,29645.2019747068,7762.6190531529,,623.1710746471,,14526.6177522189,0.0,1242.4284908891,1474.0468882311
2008-03,2008-03-31,grid_20qvjmd3.xlsx,10303.8674847883,747.0940930993,295.1303437993,1515.5027737452,30769.5536604932,7843.4509066812,,615.3892125718,,14775.0506200506,0.0,1312.0471238373,1479.4427753401
2008-04,2008-04-30,grid_20qvjmd3.xlsx,10682.5227605994,711.0441969683,300.9140290716,1451.0768515842,30957.4695837808,7909.4795000898,,601.7508929039,,15217.4026277273,0.0,1381.0617447563,1445.746031554
2008-05,2008-05-30,grid_20qvjmd3.xlsx,12096.372419705,728.0505710438,316.8836079574,1504.671520933,32324.6684019726,7871.6928012216,,560.6545943668,,16212.1084286089,15.0794520548,1352.8193680143,1468.2037244533
2008-06,2008-06-30,grid_20qvjmd3.xlsx,12518.4253993854,698.8360388548,312.2965781796,1526.8364154997,32989.7392997699,7885.1989513663,,550.0993734797,,16313.3584253175,32.8876712329,1312.6731020642,1429.9286527747
2008-07,2008-07-31,grid_20qvjmd3.xlsx,11614.2108805641,737.0660817322,294.206674022,1419.8972573218,34314.9850455671,7863.2461458777,,526.7919649769,,16167.3167289624,33.1424657534,1358.7448689128,1440.5456344461
2008-08,2008-08-29,grid_20qvjmd3.xlsx,12104.0246422624,704.5649639506,302.1259838042,1507.0539463873,34896.3779850521,7875.0501176893,,562.0758046251,,17087.9530436288,33.3808219178,1408.5326552152,1464.0214502182
2008-09,2008-09-30,grid_20qvjmd3.xlsx,14266.9874911289,648.7169076389,363.4855156733,1740.5418340478,36268.298789874,6828.5199819498,,570.9846148152,,19240.0075325486,,1547.7115820521,1549.4412992069
2008-10,2008-10-31,grid_20qvjmd3.xlsx,13115.5788441607,651.810286862,372.634417409,1602.335173261,34382.2515326247,6519.0678303595,,615.4793387402,,19187.9287140986,,1649.2130933475,1504.1739236317
