month,Energy reported,IBOV,Brava Energia,Oleo e Gas Participacoes,PRIO,PetroReconcavo,Petrobras,Ex-Petrobras dynamic,Ex-Petrobras core (PRIO + Brava)
2008-01,29432.8344127123,9959.8780653506,,,,,29432.8344127123,,
2008-02,29645.2019747068,10289.6073694319,,,,,29645.2019747068,,
2008-03,30769.5536604932,10303.8674847883,,,,,30769.5536604932,,
2008-04,30957.4695837808,10682.5227605994,,,,,30957.4695837808,,
2008-05,32324.6684019726,12096.372419705,,,,,32324.6684019726,,
2008-06,32989.7392997699,12518.4253993854,,,,,32989.7392997699,,
2008-07,34314.9850455671,11614.2108805641,,,,,34314.9850455671,,
2008-08,34896.3779850521,12104.0246422624,,,,,34896.3779850521,,
2008-09,36268.298789874,14266.9874911289,,,,,36268.298789874,,
2008-10,34382.2515326247,13115.5788441607,,,,,34382.2515326247,,
2008-11,33491.210374663,11850.1015847353,,,,,33491.210374663,,
2008-12,29096.400896,11084.4648793578,,,,,29096.400896,,
2009-01,26792.8816710137,11033.7390162929,,,,,26792.8816710137,,
2009-02,27042.7876927123,11190.3574737604,,,,,27042.7876927123,,
2009-03,24508.1156734247,9959.6274718116,,,,,24508.1156734247,,
2009-04,23604.0850165479,9074.7839544323,,,,,23604.0850165479,,
2009-05,25104.4839760658,9195.7718891232,,,,,25104.4839760658,,
2009-06,25090.7494652493,8893.8981333335,,,,,25090.7494652493,,
2009-07,25347.7203687452,8563.7339145049,,,,,25347.7203687452,,
2009-08,25339.541907989,8388.6174345144,,,,,25339.541907989,,
2009-09,26521.992946674,9160.297840549,,,,,26521.992946674,,
2009-10,27343.9044481753,9619.9296044267,,,,,27343.9044481753,,
2009-11,28859.7220758795,10130.9507990353,,,,,28859.7220758795,,
2009-12,29662.500864,9965.8393607924,,,,,29662.500864,,
2010-01,29007.9265739063,9673.1700027944,,240.331298630137,,,30689.4562402192,240.331298630137,
2010-02,28320.1473912361,9709.5848024094,,221.153231605479,,,29840.4618688877,221.153231605479,
2010-03,29012.1788076429,10789.075082854,,225.766301369863,,,30621.3673941918,225.766301369863,
2010-04,29635.3195654762,11006.9069751206,,281.719956164384,,,31462.0239254795,281.719956164384,
2010-05,27099.4479235388,10281.7774589307,,271.827478093151,,,32083.2421551342,271.827478093151,
2010-06,26950.7843853405,9981.9088020925,,274.895894443836,,,32580.9011164931,274.895894443836,
2010-07,27045.6020456823,10157.3473649416,,277.616772821918,,,33107.7623808,277.616772821918,
2010-08,26043.1805735969,10478.9497789164,,378.695728920548,,,32989.9049296658,378.695728920548,
2010-09,25585.3534653899,11407.2372415397,,298.622562367123,,,33394.5893930082,298.622562367123,
2010-10,25890.2192560051,11592.0156282558,,284.533702750685,,,34355.6581011288,284.533702750685,
2010-11,26577.3965953684,12019.0125511685,,165.547605479452,,,34706.0547022904,165.547605479452,
2010-12,28108.4595888069,12597.8633879485,,244.0,,,35806.298112,244.0,
2011-01,27471.7172135821,13177.5163218255,,328.245350994535,,,35954.9469880656,328.245350994535,
2011-02,26929.3029852374,13431.2669381568,,428.796726557377,,,35747.873506623,428.796726557377,
2011-03,27197.9224803103,13213.0492168076,,470.548087431694,,,36151.9318536393,470.548087431694,
2011-04,27678.808036833,13174.7446615963,,537.022819672131,,,36367.6794208525,537.022819672131,
2011-05,26793.3038270447,12498.0567318548,,516.745529879781,,,36570.3692422295,516.745529879781,
2011-06,28449.1181149492,13424.2893837919,,615.959712874317,,,38017.7918321312,615.959712874317,
2011-07,29939.8687573529,14082.4292593319,,583.57868852459,,,38957.3051285683,583.57868852459,
2011-08,31037.4498452394,13480.6643563939,,496.757782666667,,,40377.0013013333,496.757782666667,
2011-09,28543.0045469092,13359.1834293639,,617.319846469945,,,40856.1304313005,617.319846469945,
2011-10,26850.8698277753,12887.0678723443,,491.106853333333,,,39740.20096,491.106853333333,
2011-11,27913.4061246393,13114.066429376,,579.143672131147,,,40474.241505224,579.143672131147,
2011-12,27142.8586176216,12652.2355261844,,521.783109289618,,,39451.2013905137,521.783109289618,
2012-01,26838.6281662673,11926.744740175,,604.721351452055,,,39987.1569639452,604.721351452055,
2012-02,24956.1722412991,10690.2097017882,,780.11601779726,,,37644.5062999671,780.11601779726,
2012-03,25459.2782226215,10556.6456148429,,642.034813545205,,,37489.2038677041,642.034813545205,
2012-04,25130.9387485097,10530.9039228188,,612.38487890411,,,36523.2998820822,612.38487890411,
2012-05,26335.9323365328,11208.6571100341,,494.456026476712,,,36257.8678264986,494.456026476712,
2012-06,28665.6245906013,11266.0398633244,,-20.0129507945206,,,34829.6072486575,-20.0129507945206,
2012-07,28941.7036795952,10632.0735664755,,-207.700377731507,,,34974.0734940932,-207.700377731507,
2012-08,28081.1021458037,10076.8460311019,,-215.868436230137,,,34219.8296127123,-215.868436230137,
2012-09,24122.8196027727,9786.2754322708,,-247.889860273973,,,34720.848146937,-247.889860273973,
2012-10,24746.3216834776,9497.0199476158,,-194.885653391781,,,33695.8615720329,-194.885653391781,
2012-11,24043.5654353837,9098.0576414327,,-190.914258235616,,,32995.7484459836,-190.914258235616,
2012-12,24629.2664472646,9301.8568644363,,-102.4,,,33487.40096,-102.4,
2013-01,23926.6760853625,8721.8682400607,,-47.3541132273973,,,34123.2011797041,-47.3541132273973,
2013-02,22734.3726385664,8564.557840721,,-133.693812252055,,,31132.244792811,-133.693812252055,
2013-03,25614.5324675052,8834.0013893503,,-232.500700230137,,,31846.887693326,-232.500700230137,
2013-04,27708.3166242333,9500.2555266344,,-296.810761643836,,,32700.3210345205,-296.810761643836,
2013-05,24667.149536862,9065.5175875768,,-349.965548394521,,,33619.1760243726,-349.965548394521,
2013-06,25703.1926968445,8839.8019737839,,-587.239898630137,,,32431.0413480329,-587.239898630137,
2013-07,24974.4183713068,8638.2208788512,,-972.55334189589,,,30442.7604052164,-972.55334189589,
2013-08,28533.0969193723,8762.8312734115,,-901.762608043835,,,31262.6240918795,-901.762608043835,
2013-09,23538.6862699703,8556.5196115296,,-937.517463320548,,,30022.9057662247,-937.517463320548,
2013-10,24035.4780736236,8664.9237666048,,-1027.99287408219,,,27695.6521682411,-1027.99287408219,
2013-11,29458.659328,9251.2241397479,,,,,29458.659328,,
2013-12,30840.199168,9121.4767045524,,,,,30840.199168,,
2014-01,30005.7002657315,10506.2989409663,,,,,30005.7002657315,,
2014-02,29106.510373874,10482.9544789228,,,,,29106.510373874,,
