target,sample,specification,n,r2,adj_r2,variable,beta,beta_std,se_hac,t_hac,p_hac
IBOV BEst EPS,full,full contemporaneous,208,0.23437636744501522,0.21542528743127798,d_focus_pib3,6.429138825862399,0.4221338978668027,0.8295832697040564,7.749841469387293,9.325873406851315e-15
IBOV BEst EPS,full,full contemporaneous,208,0.23437636744501522,0.21542528743127798,d_bcom_usd3,0.27454118765993685,0.15998298088843046,0.1572509770851782,1.7458790574714584,0.08083196968147499
IBOV BEst EPS,full,full contemporaneous,208,0.23437636744501522,0.21542528743127798,d_usdbrl3,0.22558039232755345,0.12704611053431875,0.19706359678635407,1.1447085915726778,0.25232989125552363
IBOV BEst EPS,full,full contemporaneous,208,0.23437636744501522,0.21542528743127798,d_ipca12_3_available,2.010294688469262,0.16359353298188156,1.0684880471082976,1.8814386308857856,0.059912276017090704
IBOV BEst EPS,full,full contemporaneous,208,0.23437636744501522,0.21542528743127798,d_swap360_3,0.8410336956670192,0.0688986850015037,1.129951104592017,0.7443098132734558,0.4566890657749334
IBOV BEst EPS,ex_2013_14,full contemporaneous,184,0.49329249230764305,0.47905913534999256,d_focus_pib3,6.003022470385266,0.594136881041381,0.837853263692236,7.1647658731211,7.791545186819349e-13
IBOV BEst EPS,ex_2013_14,full contemporaneous,184,0.49329249230764305,0.47905913534999256,d_bcom_usd3,0.13682962510050256,0.1162925306083771,0.13943863198781706,0.9812892105285252,0.3264501418835484
IBOV BEst EPS,ex_2013_14,full contemporaneous,184,0.49329249230764305,0.47905913534999256,d_usdbrl3,0.04276301496385937,0.03510773947912599,0.12443172596597701,0.3436664936685997,0.7310971121847265
IBOV BEst EPS,ex_2013_14,full contemporaneous,184,0.49329249230764305,0.47905913534999256,d_ipca12_3_available,1.5469924567664708,0.19039122448228643,0.8150885309438257,1.8979440858714358,0.05770344804271921
IBOV BEst EPS,ex_2013_14,full contemporaneous,184,0.49329249230764305,0.47905913534999256,d_swap360_3,1.7314797734629659,0.208152502938589,0.6488064779402077,2.6687152985277907,0.007614196116265237
IBOV BEst EPS,clean,full contemporaneous,160,0.18470927127595094,0.15823879307062472,d_focus_pib3,3.714619037605127,0.36941627711514824,0.677485187394981,5.482952405038289,4.182855817269626e-08
IBOV BEst EPS,clean,full contemporaneous,160,0.18470927127595094,0.15823879307062472,d_bcom_usd3,0.09042952930628423,0.10467002997421958,0.12756262116510023,0.7089030350767422,0.47838465153025567
IBOV BEst EPS,clean,full contemporaneous,160,0.18470927127595094,0.15823879307062472,d_usdbrl3,0.017385579644193072,0.019651336224965385,0.12716024201270112,0.1367218194068595,0.891250682096165
IBOV BEst EPS,clean,full contemporaneous,160,0.18470927127595094,0.15823879307062472,d_ipca12_3_available,0.35477584334702583,0.05782584022823409,0.8281472894592093,0.42839703499929216,0.6683620829882089
IBOV BEst EPS,clean,full contemporaneous,160,0.18470927127595094,0.15823879307062472,d_swap360_3,1.3149257652331197,0.19538773160746475,0.7634231237547549,1.7224075670722436,0.0849957138811952
IBOV BEst EPS,post2022,full contemporaneous,55,0.41032052649737616,0.3501491516501696,d_focus_pib3,2.03048227772354,0.1137868246277135,2.592951108243614,0.783077733810001,0.4335814656809762
IBOV BEst EPS,post2022,full contemporaneous,55,0.41032052649737616,0.3501491516501696,d_bcom_usd3,0.3701410742579796,0.5491815601770683,0.14217468978810263,2.6034245252065498,0.009229758721172265
IBOV BEst EPS,post2022,full contemporaneous,55,0.41032052649737616,0.3501491516501696,d_usdbrl3,0.22910964885138674,0.23742685549386744,0.1783385328458324,1.284689546310467,0.19890079272940042
IBOV BEst EPS,post2022,full contemporaneous,55,0.41032052649737616,0.3501491516501696,d_ipca12_3_available,1.3929888951772351,0.31806255563307295,0.46736977636048277,2.9804856146770207,0.002877917546806774
IBOV BEst EPS,post2022,full contemporaneous,55,0.41032052649737616,0.3501491516501696,d_swap360_3,0.13537369843381525,0.023996875691559397,0.9080856386112691,0.14907591605659745,0.8814937297181968
