sample,candidate,start,end,n,univariate_r2,base_r2,augmented_r2,delta_r2,delta_adj_r2,beta,se_hac,t_hac,p_hac,beta_std
full,d_focus_ipca3,2009-04,2026-08,209,0.05108707799967549,0.19438588342169894,0.21666739428786252,0.02228151086616359,0.0186396031575915,4.376995139030257,1.962099865901085,2.230770826244434,0.025696313348855915,0.15618555881083424
full,d_ipca12_3_available,2009-04,2026-07,208,0.034625008457869755,0.19439343401809905,0.23067587627177277,0.03628244225367372,0.032828428452328806,2.3880205247812776,0.924596879049526,2.582769398092856,0.009801080922240857,0.1943320632159091
full,ipca3_flow_available,2009-04,2026-07,208,0.027085052285565014,0.19439343401809905,0.24320066085909886,0.04880722684099981,0.04553740104829218,3.462494306964613,1.5639023394248008,2.2140092892489114,0.02682813992846622,0.2229610589924066
ex_2013_14,d_focus_ipca3,2009-04,2026-08,185,0.13375352839918997,0.382233522103375,0.45247777025796987,0.07024424815459485,0.06795793668472139,5.188429822981783,1.9986835333890471,2.595923634885847,0.009433702933443033,0.2806834568450277
ex_2013_14,d_ipca12_3_available,2009-04,2026-07,184,0.07113506208684961,0.38220688254943536,0.46016631551217235,0.077959432962737,0.07578864817468645,2.32794073491345,0.8957886938793714,2.598761014533339,0.009356088512646021,0.28650397427844265
ex_2013_14,ipca3_flow_available,2009-04,2026-07,184,0.022127964262770083,0.38220688254943536,0.4363601959580443,0.05415331340860896,0.05158575996132286,2.460910917393001,1.3191149415870802,1.8655773199204158,0.0621005251968576,0.2351116261695464
clean,d_focus_ipca3,2009-04,2026-08,161,0.006670546914686382,0.13793528743605332,0.15172718935740515,0.013791901921351823,0.00849507887452805,1.6472373558074542,1.6108480891044175,1.0225901293543254,0.3065016785096728,0.12354967430094276
clean,d_ipca12_3_available,2009-04,2026-07,160,0.0012211078466203285,0.13789605106438896,0.15205383145948148,0.014157780395092523,0.008833339217782621,0.7731087672079957,0.7896551918307381,0.9790460130017241,0.3275572448693871,0.12601101481390137
clean,ipca3_flow_available,2009-04,2026-07,160,0.0028244293515343744,0.13789605106438896,0.13890136978852652,0.0010053187241375605,-0.004572054408383042,0.2484788076765514,1.148876997644306,0.21627973071620396,0.8287697077166609,0.03257440705011755
since_2015,d_focus_ipca3,2015-01,2026-08,140,0.15108406139498454,0.45191783995199886,0.5267308768741832,0.07481303692218433,0.0723744762699916,5.184311070341723,2.036590836634047,2.5455830287982812,0.010909541595488514,0.29091184215982907
since_2015,d_ipca12_3_available,2015-01,2026-07,139,0.08753233539558081,0.4519394212591078,0.5309873779388299,0.07904795667972209,0.07668516836049999,2.2659847118905065,0.887037116849498,2.5545545601728996,0.010632376501449992,0.2892801749342448
since_2015,ipca3_flow_available,2015-01,2026-07,139,0.023783784019465015,0.4519394212591078,0.5022102679101381,0.05027084665103032,0.047268566997837325,2.30669254514784,1.416153349986307,1.6288437584602995,0.10334609860868671,0.22616223392367607
