target,sample,start,end,n,r2,adj_r2,invalid_nonpositive_windows_full,d_focus_pib3_beta,d_focus_pib3_beta_std,d_focus_pib3_t,d_focus_pib3_p,d_focus_pib3_partial_r2,d_bcom_usd3_beta,d_bcom_usd3_beta_std,d_bcom_usd3_t,d_bcom_usd3_p,d_bcom_usd3_partial_r2,d_usdbrl3_beta,d_usdbrl3_beta_std,d_usdbrl3_t,d_usdbrl3_p,d_usdbrl3_partial_r2,d_ipca12_3_available_beta,d_ipca12_3_available_beta_std,d_ipca12_3_available_t,d_ipca12_3_available_p,d_ipca12_3_available_partial_r2,d_swap360_3_beta,d_swap360_3_beta_std,d_swap360_3_t,d_swap360_3_p,d_swap360_3_partial_r2,focus_ibov_same_sample,focus_difference_vs_ibov,focus_difference_p,d_focus_pib3_q_bh,d_bcom_usd3_q_bh,d_usdbrl3_q_bh,d_ipca12_3_available_q_bh,d_swap360_3_q_bh,focus_difference_q_bh
IBOV,full,2009-04,2026-07,208,0.42156239854717303,0.4072446361349744,0,5.968952397629377,0.40884433266258297,5.514900878246487,3.489765854070015e-08,0.13458729519670887,0.6425647656115169,0.39061204085773316,3.5702679678293765,0.0003566162259081018,0.08388161703033592,0.2796608472641493,0.1643062703731633,1.6408484518695945,0.10082887767624515,0.013970484994119237,3.1759078086445047,0.26961045903228187,2.95294671950929,0.003147562847097163,0.053235347815641876,0.7937536012147359,0.06783372838465096,0.9983248566665499,0.3181218581500387,0.003017170608975217,5.968952397629377,0.0,,,,,,,
IBOV,ex_2013_14,2009-04,2026-07,184,0.4378618651513946,0.42207146810508545,0,6.179005187471408,0.430088638781141,5.679723558059265,1.349126099725595e-08,0.1482996890874133,0.638970710509807,0.3819227272079247,3.241243806124603,0.001190093526896252,0.0773936418805341,0.30761286578718927,0.17760775023582037,1.6585011190967796,0.09721636183488536,0.016172119745116564,3.209394419808668,0.27778237812723067,2.9333750006721546,0.00335298638717596,0.05424323110696572,0.7412980849881029,0.06267292448919115,0.9454318453259561,0.34443845057217715,0.0024387250754548395,6.179005187471408,0.0,,,,,,,
IBOV,ex_2020_21,2009-04,2026-07,184,0.24162811460113742,0.22032553355060758,0,3.8491398290680143,0.23110054171717043,3.2048454350100353,0.001351350271558971,0.044149731692410765,0.644049963595104,0.4603184610415526,3.749151418650591,0.0001774339357081267,0.12752999602989057,0.29165169069599184,0.20440352375182957,1.6992991698118174,0.08926282893149251,0.022024909631309875,2.155016137003257,0.20863910516578718,1.9810196896619119,0.047589065553500065,0.03364990387677713,0.5590357332648435,0.05226391181580653,0.6378026119139591,0.5236021791219696,0.0020580716852192094,3.8491398290680143,0.0,,,,,,,
IBOV,clean,2009-04,2026-07,160,0.24994435729384612,0.22559190136182805,0,4.166800677918155,0.2548726497622179,3.3911466581937932,0.0006960084581588699,0.054124969794097866,0.6388790310264731,0.45483038829140343,3.348884329618049,0.0008113766187791693,0.12152880948072065,0.327206901919177,0.22748047588095055,1.7043663850527677,0.0883126598412991,0.02723985821769448,2.145720601704407,0.21510962475540113,1.9322015280488225,0.053334636667004665,0.03466097949767277,0.49066740201279013,0.04484376031567555,0.5706505391826517,0.568236552611753,0.0014784462450865288,4.166800677918155,0.0,,,,,,,
IBOV,ex_seams,2009-04,2026-07,193,0.4612024723761622,0.4467961213701772,0,6.257300955716724,0.4345551816236298,5.986832802161705,2.139665333800167e-09,0.15400178323787028,0.6098486586818714,0.36285411183335287,3.0118686902628315,0.0025964488513294803,0.07564355068023343,0.31370507237244283,0.18324079443495153,1.7904378886679697,0.07338354390328261,0.018061079212948195,4.096021470339889,0.34076955043653884,3.9293751774127474,8.516687195081474e-05,0.08628352326463096,0.7030359680732714,0.060050466455740165,0.9423785147667454,0.34599888317450067,0.002420155991802009,6.257300955716724,0.0,,,,,,,
IBOV,audit_clean,2009-04,2026-07,151,0.2947933990467133,0.27047593004832415,0,4.442488062949742,0.2777487624893034,3.391520682662669,0.0006950591692611585,0.06387832910925195,0.6450459278625379,0.46145055700881465,3.107269104957294,0.0018882442564400748,0.12319027289377849,0.3559614878121167,0.25246773373660336,1.8014179856492487,0.071637023413615,0.033096776109808324,2.7647025198319914,0.2695855944701918,3.254091526615604,0.0011375562289384078,0.05708410642763351,0.9363982293652462,0.08449022987147772,1.2789753938510928,0.20090572096373926,0.0055263049665270625,4.442488062949742,0.0,,,,,,,
IBOV,since_2020,2020-01,2026-07,79,0.6199256236942613,0.5938931321664709,0,6.517266411873479,0.43090681425615834,4.88324916324047,1.043518726762116e-06,0.136124032798712,0.8550046567171536,0.4534955386926144,2.561765647675719,0.010414156408874442,0.09919709046665093,0.4048231772411639,0.1770281614251965,1.3823404170488605,0.16686720154295642,0.015678030485350214,3.38422980561314,0.2807176965913113,2.6844650149499514,0.0072645985923682765,0.056850393923771336,1.0210285967229726,0.07615054089811854,0.8129834843837989,0.4162275272981144,0.003500394598115686,6.517266411873479,0.0,,,,,,,
IBOV,since_2022,2022-01,2026-07,55,0.5394878636893492,0.49249682937193584,0,0.2982402843671333,0.00788274212834527,0.07879882672850258,0.9371926372822919,6.026101701428477e-05,1.0652936574491805,0.7454804295599953,3.6260120891898264,0.0002878318850667583,0.2959629297012488,0.6626591147376043,0.32388801433819814,2.2892829679261184,0.02206291665221216,0.050408481555220264,2.43314029001824,0.26202955549937906,2.035679626494002,0.041782536208928356,0.06160459493864556,-0.00870170594006836,-0.0007275168402570225,-0.006010523191808698,0.9952043252179945,3.2166863372928844e-07,0.2982402843671333,0.0,,,,,,,
IBOV,since_2022_ex_seams,2022-01,2026-07,52,0.5628461890453108,0.5153294704632794,0,-0.25374865841430233,-0.006695245399023109,-0.06716788430550454,0.9464480519775598,4.36618114388887e-05,1.160931030616655,0.795625844399258,3.886685190838934,0.00010162240555677826,0.3214359218566947,0.7592700695540957,0.37246747996820145,2.5646771766667595,0.010327183884280888,0.06292158964585814,2.3570314767518243,0.25372074808780765,2.0169735411136176,0.04369827456223874,0.05773215114060193,-0.041408225362889545,-0.0034492521989908367,-0.027919874094315116,0.9777260573864586,7.2562538149245626e-06,-0.25374865841430233,0.0,,,,,,,
Communication Services,full,2009-04,2026-07,208,0.06317116315059434,0.039982330555312084,0,-0.883540011863548,-0.05941605254267802,-0.852692663659449,0.39382976032876815,0.0028424686998202997,-0.03128925824252951,-0.0186741865574614,-0.12556485883644994,0.9000763813199093,0.00019171625072977871,-0.30819361972694104,-0.17777218847880558,-1.2553154506155586,0.2093642684944914,0.016354258034920854,2.764655203099809,0.23042390425412201,2.312387712578633,0.020756326885603915,0.03888496264872743,-0.3152832859132041,-0.02645322551013174,-0.25350597521842383,0.7998772443851705,0.00045884474346891135,5.968952397629377,-6.8524924094929265,2.4019728730451106e-06,0.433212736361645,0.9866714792407835,0.5033100362593185,0.2246705158112964,0.8372413255272277,8.807233867832073e-06
