seam_start,revision_month,target,revision_3m_log_pct
2011-01,2011-01,IBOV,12.819551514897022
2011-01,2011-01,Communication Services,12.054874209765025
2011-01,2011-01,Consumer Discretionary,8.748804703218724
2011-01,2011-01,Consumer Staples,-1.7695309547538534
2011-01,2011-01,Energy,5.929174799869321
2011-01,2011-01,Financials,7.330807423454227
2011-01,2011-01,Health Care,
2011-01,2011-01,Industrials,18.98266866093595
2011-01,2011-01,Information Technology,
2011-01,2011-01,Materials,8.738170177403697
2011-01,2011-01,Real Estate,
2011-01,2011-01,Utilities,-6.152738939869089
2011-01,2011-02,IBOV,11.109556726106531
2011-01,2011-02,Communication Services,8.306323772162667
2011-01,2011-02,Consumer Discretionary,6.851631333271214
2011-01,2011-02,Consumer Staples,-4.700290839229417
2011-01,2011-02,Energy,1.3153921534390192
2011-01,2011-02,Financials,7.7389093358174375
2011-01,2011-02,Health Care,
2011-01,2011-02,Industrials,14.363270940563048
2011-01,2011-02,Information Technology,
2011-01,2011-02,Materials,5.525230954974147
2011-01,2011-02,Real Estate,
2011-01,2011-02,Utilities,1.181028348061617
2011-01,2011-03,IBOV,4.767769110936255
2011-01,2011-03,Communication Services,9.0151179793596
2011-01,2011-03,Consumer Discretionary,2.3945868600399587
2011-01,2011-03,Consumer Staples,-5.892524201005509
2011-01,2011-03,Energy,-3.2929993030255935
2011-01,2011-03,Financials,6.383376418793177
2011-01,2011-03,Health Care,
2011-01,2011-03,Industrials,2.6363086452957276
2011-01,2011-03,Information Technology,
2011-01,2011-03,Materials,2.5143455412344333
2011-01,2011-03,Real Estate,
2011-01,2011-03,Utilities,5.741267119729973
2014-01,2014-01,IBOV,19.269185115957924
2014-01,2014-01,Communication Services,24.014276665002274
2014-01,2014-01,Consumer Discretionary,18.901306735879288
2014-01,2014-01,Consumer Staples,35.29450984517295
2014-01,2014-01,Energy,22.18563805953628
2014-01,2014-01,Financials,6.641935344230705
2014-01,2014-01,Health Care,-11.543305947046196
2014-01,2014-01,Industrials,16.268843994177132
2014-01,2014-01,Information Technology,
2014-01,2014-01,Materials,28.18046329734276
2014-01,2014-01,Real Estate,-2.262035292142143
2014-01,2014-01,Utilities,7.983914408622837
2014-01,2014-02,IBOV,12.499467288936707
2014-01,2014-02,Communication Services,32.0350342781713
2014-01,2014-02,Consumer Discretionary,21.708955333277427
2014-01,2014-02,Consumer Staples,33.489980102513265
2014-01,2014-02,Energy,-1.2026028441393226
2014-01,2014-02,Financials,9.45327903670674
2014-01,2014-02,Health Care,-5.599468225411134
2014-01,2014-02,Industrials,10.083582415152259
2014-01,2014-02,Information Technology,
2014-01,2014-02,Materials,22.94495352691995
2014-01,2014-02,Real Estate,-6.692803521846331
2014-01,2014-02,Utilities,11.196338549639188
2014-01,2014-03,IBOV,17.4822050643899
2014-01,2014-03,Communication Services,35.66336176509582
2014-01,2014-03,Consumer Discretionary,29.429156507654692
2014-01,2014-03,Consumer Staples,31.293762319958063
2014-01,2014-03,Energy,-0.5937784011851444
2014-01,2014-03,Financials,9.590989443434163
2014-01,2014-03,Health Care,5.02632532554829
2014-01,2014-03,Industrials,9.616259556312775
2014-01,2014-03,Information Technology,
2014-01,2014-03,Materials,28.404571747045466
2014-01,2014-03,Real Estate,-8.64855904638046
2014-01,2014-03,Utilities,5.552810243108789
2017-01,2017-01,IBOV,14.444666486676047
