target,sample,specification,n,r2,beta_swap,beta_std_swap,se_hac_swap,t_hac_swap,p_hac_swap
IBOV BEst EPS,full,swap_only,245,0.039309193586091196,2.2287364681807804,0.19826546241363194,1.1242885478982054,1.9823527263950866,0.04743977661285248
IBOV BEst EPS,full,focus_swap,209,0.20049096704147573,2.4343815371959296,0.19945698513197196,0.9425598091424003,2.582734287610758,0.00980207833043334
IBOV BEst EPS,full,focus_bcom_fx_swap,209,0.21478868848109933,1.8674866840773365,0.1530094022193489,0.9919035334457592,1.882730145732924,0.059736947911045446
IBOV BEst EPS,full,full,208,0.23437636744501522,0.8410336956670192,0.0688986850015037,1.129951104592017,0.7443098132734558,0.4566890657749334
IBOV BEst EPS,ex_2013_14,swap_only,221,0.11219588035607764,2.6957984480201698,0.3349565350251844,1.0654575208526536,2.530179190872672,0.011400428687865283
IBOV BEst EPS,ex_2013_14,focus_swap,185,0.46113157912234737,2.8460224946269133,0.34215289247752667,0.7959653215612652,3.5755609164536395,0.0003494777853625397
IBOV BEst EPS,ex_2013_14,focus_bcom_fx_swap,185,0.4678491708587851,2.5876909814877753,0.3110959087026179,0.805211705171496,3.2136778003452426,0.0013104663470757671
IBOV BEst EPS,ex_2013_14,full,184,0.49329249230764305,1.7314797734629659,0.208152502938589,0.6488064779402077,2.6687152985277907,0.007614196116265237
IBOV BEst EPS,ex_2020_21,swap_only,221,0.015026685382607874,1.405451539760484,0.12258338134758716,1.215292684873476,1.1564716526758372,0.24748828805135048
IBOV BEst EPS,ex_2020_21,focus_swap,185,0.04593163872791073,1.0601445690434317,0.08248766925573019,1.144324732375936,0.9264368225637115,0.3542190153331184
IBOV BEst EPS,ex_2020_21,focus_bcom_fx_swap,185,0.06131888231690519,0.5322091835800593,0.04141010235012178,1.208325385593766,0.4404518765601651,0.6596098593360944
IBOV BEst EPS,ex_2020_21,full,184,0.0659086699002236,0.16953602419755054,0.01319020458222922,1.4278540497386194,0.11873484144166242,0.9054854323119323
IBOV BEst EPS,clean,swap_only,197,0.0849181660373648,2.0067253826639866,0.29140721685875454,0.96141963189537,2.08725234651998,0.03686532990601066
IBOV BEst EPS,clean,focus_swap,161,0.17425389627796128,1.5906478780736775,0.23635399768063556,0.7987596428690771,1.9913974025530443,0.04643721458790662
IBOV BEst EPS,clean,focus_bcom_fx_swap,161,0.18224592719607213,1.4675848089865213,0.21806808491103985,0.8131320219195194,1.8048542787948119,0.07109748801583349
IBOV BEst EPS,clean,full,160,0.18470927127595094,1.3149257652331197,0.19538773160746475,0.7634231237547549,1.7224075670722436,0.0849957138811952
IBOV BEst EPS,pre2020_clean,swap_only,141,0.08227080591597169,2.125963544690181,0.28682887915266064,1.1927957121805812,1.7823366759121317,0.07469434523199192
IBOV BEst EPS,pre2020_clean,focus_swap,105,0.19341065736711593,1.4100391106329817,0.18763866682437308,1.1220957488559329,1.2566121136013841,0.20889412616100178
IBOV BEst EPS,pre2020_clean,focus_bcom_fx_swap,105,0.20362107486592373,1.5604903614074936,0.20765972291034127,1.0798946936841998,1.4450393825750545,0.14844682391014263
IBOV BEst EPS,pre2020_clean,full,105,0.22989170942154458,2.5634473339052626,0.3411265947031466,1.0075927921873988,2.544130281381068,0.010955021621669392
IBOV BEst EPS,post2022,swap_only,56,0.08608795797870694,1.6539805241259782,0.29340749475551386,0.9382088238608167,1.7629129912887562,0.07791516559949496
IBOV BEst EPS,post2022,focus_swap,56,0.1106862146957962,1.7555249160855615,0.3114209388177272,1.0106822825323714,1.7369701106137017,0.08239244679243529
IBOV BEst EPS,post2022,focus_bcom_fx_swap,56,0.31881109757064785,0.6834172817676526,0.12123465155191704,0.949877955348808,0.7194790424593994,0.47184581057844266
IBOV BEst EPS,post2022,full,55,0.41032052649737616,0.13537369843381525,0.023996875691559397,0.9080856386112691,0.14907591605659745,0.8814937297181968
IBOV constant basket,full,swap_only,196,0.05398829849089881,2.0204816095211173,0.2323538217695137,1.2162862956597387,1.661189159765355,0.09667546202710353
IBOV constant basket,full,focus_swap,196,0.44218231696704413,2.852633304461901,0.32805062281948577,0.8497713785769756,3.3569420862807964,0.0007880961832258393
IBOV constant basket,full,focus_bcom_fx_swap,196,0.47027378338261183,2.4317575133441727,0.27965023248895976,0.8639027047422301,2.814851140059524,0.0048799832688648515
IBOV constant basket,full,full,196,0.5041074055028246,1.4345494418019027,0.16497207584037232,0.6479028865326552,2.214142692709858,0.026818964579014448
