data_referencia,previdencia_total_dpmfi_r_bilhoes,previdencia_ntnb_r_bilhoes,alocacao_previdencia_em_ntnb_pct,previdencia_outros_titulos_publicos_r_bilhoes,alocacao_previdencia_em_outros_titulos_publicos_pct,escopo_denominador,definicao_previdencia_tesouro,fonte_anexo_2_7,fonte_anexo_2_8,metodologia
2011-02-28,232.656373223,139.722858861,60.055461592,92.933514362,39.944538408,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-03-31,256.882259777,146.695439988,57.106099937,110.186819789,42.893900063,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-04-30,263.45879724,152.214400988,57.775410266,111.244396252,42.224589734,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-05-31,261.944771599,148.217891695,56.58364196,113.726879904,43.41635804,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-06-30,264.451797017,150.501610123,56.910791237,113.950186894,43.089208763,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-07-31,266.547470497,154.671866331,58.027887506,111.875604166,41.972112494,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-08-31,247.19634571,149.709251832,60.562890362,97.487093878,39.437109638,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-09-30,267.355042016,146.883747596,54.939583891,120.47129442,45.060416109,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-10-31,276.840904955,157.612165059,56.932397719,119.228739896,43.067602281,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-11-30,274.300279019,154.195092201,56.213975703,120.105186818,43.786024297,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2011-12-31,274.842011942,156.041837871,56.775103911,118.800174071,43.224896089,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2012-01-31,246.609987363,153.521527512,62.252761599,93.088459851,37.747238401,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2012-02-29,249.369471122,155.65672234,62.420119688,93.712748782,37.579880312,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2012-03-31,250.975839103,158.128884892,63.005620564,92.846954211,36.994379436,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2012-04-30,250.376754588,159.631129414,63.756369746,90.745625174,36.243630254,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2012-05-31,253.09280059,160.116982555,63.26413955,92.975818035,36.73586045,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2012-06-30,306.419001654,180.481816423,58.900334329,125.937185231,41.099665671,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2012-07-31,293.741529657,178.501215873,60.768123623,115.240313784,39.231876377,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
2012-08-31,296.878849584,176.662832333,59.50670874,120.216017251,40.49329126,Carteira de DPMFi da categoria Previdência; não representa os ativos totais das EFPC,"Previdência aberta e fechada, RPPS e aplicações dessas entidades em fundos de investimento",https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,Estoque de NTN-B da Previdência no Anexo 2.8 dividido pelo estoque total de DPMFi da Previdência no Anexo 2.7
