"data_referencia","instituicoes_financeiras_participacao_pct","fundos_participacao_pct","nao_residentes_participacao_pct","previdencia_participacao_pct","governo_participacao_pct","seguradoras_participacao_pct","outros_participacao_pct"
"2011-02-28","22.170845954","18.289542115","6.020577943","35.70318095","8.207802187","6.057266184","3.550784667"
"2011-03-31","23.743951409","16.463936959","6.047228167","36.082974739","8.054705706","6.068997087","3.538205934"
"2011-04-30","22.414915646","17.846853284","6.048701922","36.073107791","7.866399236","6.172413315","3.577608805"
"2011-05-31","20.971808566","17.542058706","6.362535797","37.83574572","6.882674943","6.61185389","3.793322378"
"2011-06-30","23.78308543","16.942626877","6.088578825","36.500635105","6.598571045","6.396242793","3.690259925"
"2011-07-31","23.43024675","17.708945206","6.136785197","36.221314254","6.41031031","6.410504958","3.681893325"
"2011-08-31","23.851566034","19.572640443","6.047242108","34.591417467","6.126611126","6.19197905","3.618543771"
"2011-09-30","23.493975652","20.836443433","6.260473699","33.286189516","6.054953204","6.315755121","3.752209375"
"2011-10-31","22.908758477","20.071835522","6.246443759","34.935927636","5.986489897","6.206915203","3.643629505"
"2011-11-30","22.200755805","20.707456172","6.365660202","34.759473398","6.013014412","6.277876691","3.675763321"
"2011-12-31","21.611824856","21.755826769","6.345058101","34.406157572","5.94673833","6.236186973","3.698207398"
"2012-01-31","23.076140946","21.543684287","6.582389395","32.925941021","5.84824735","6.293891341","3.729705661"
"2012-02-29","21.77310845","21.591425991","6.264354732","30.939033273","9.80236382","5.90956431","3.720149424"
"2012-03-31","21.319660456","22.220298313","6.171353291","30.736949552","9.895312503","5.963185141","3.693240743"
"2012-04-30","21.872409224","22.136464996","6.451638178","30.264147346","9.939918452","5.791743622","3.543678182"
"2012-05-31","21.482909269","21.722198038","6.645319872","30.078336552","10.629221409","5.920353455","3.521661405"
"2012-06-30","20.67144271","18.951870145","6.345649591","31.646541153","15.075172741","3.969580561","3.339743099"
"2012-07-31","20.325933167","19.768483619","6.973968093","30.74211396","14.919892018","3.909140074","3.360469068"
"2012-08-31","18.429925715","19.327563135","7.375510468","32.353234705","14.502680491","4.530508441","3.480577046"
"2012-09-30","18.654521975","19.72460802","7.798843723","31.176576054","14.215091464","4.769426822","3.660931942"
"2012-10-31","18.140374229","20.44767959","8.552644585","30.961614701","13.904603819","4.703479932","3.289603144"
"2012-11-30","17.283688598","21.919562629","8.918705249","30.246222873","13.907338813","4.779975953","2.944505886"
"2012-12-31","17.956659615","21.039109817","9.301753421","30.504629965","13.314827148","4.970535619","2.912484415"
"2013-01-31","15.966501918","21.686782688","9.302505352","31.069468177","13.847349386","5.133026331","2.994366148"
"2013-02-28","16.908636185","21.165951249","8.915319837","31.116362239","13.896430887","5.041239187","2.956060415"
"2013-03-31","16.951077906","21.101758556","9.127034951","30.997688888","13.879805091","4.976541867","2.966092741"
"2013-04-30","18.877812334","20.494137697","8.219973756","30.527332001","13.798701406","5.095439488","2.986603317"
"2013-05-31","18.296331566","20.632037407","7.822875866","32.57902726","12.223300444","5.397035951","3.049391506"
"2013-06-30","18.952580366","19.447718521","7.593548821","33.109932981","12.192790194","5.578946032","3.124483086"
"2013-07-31","19.368517715","19.098624953","8.054583452","32.763525515","12.041549841","5.534745865","3.138452657"
"2013-08-31","20.673291205","18.043247719","8.230260058","32.474377207","12.069919907","5.393652979","3.115250926"
"2013-09-30","21.015943102","18.120744402","7.761858036","31.879545174","12.678094031","5.518346712","3.025468542"
"2013-10-31","21.750896487","17.428961445","7.419764734","31.831690478","12.935307277","5.621465454","3.011914124"
"2013-11-30","21.843674643","17.636733891","7.330722634","31.781692964","12.740693","5.626327277","3.04015559"
"2013-12-31","23.573418697","17.172188062","7.156868535","31.635374059","12.41917329","4.912387093","3.130590263"
"2014-01-31","23.826712729","16.602179819","7.387926626","31.766113146","12.370117914","4.893335903","3.153613862"
"2014-02-28","24.040041459","16.55922634","7.476785525","30.984495903","12.63266511","5.116425727","3.190359936"
"2014-03-31","23.494420055","17.059598985","7.611855531","30.769239122","12.735479398","5.131014536","3.198392372"
"2014-04-30","23.480248045","16.747600794","7.865104495","30.671061405","12.897824064","5.163557274","3.174603922"
"2014-05-31","22.532459276","17.114498285","8.639434596","30.710661332","12.893096133","4.988443617","3.121406761"
"2014-06-30","22.760253821","17.155308956","8.957920244","30.466348772","12.721731252","4.929781524","3.008655431"
"2014-07-31","22.526962967","17.478176964","9.265452506","30.195505994","12.615949578","4.948027313","2.969924678"
"2014-08-31","21.856959064","17.566002298","9.4912451","31.0548499","12.21893718","4.741119688","3.07088677"
"2014-09-30","21.55502277","17.31831379","10.030238054","31.18376163","12.136894862","4.715540851","3.060228043"
"2014-10-31","20.796065347","17.193018792","10.581085596","31.202561613","12.083116734","4.697265908","3.44688601"
"2014-11-30","20.611204742","17.422200914","10.432858962","31.302643415","12.027254272","4.769762778","3.434074916"
"2014-12-31","22.166438476","17.254569016","10.19262221","30.796770873","11.752544957","4.68575128","3.151303188"
"2015-01-31","21.750223367","17.687909968","10.108365163","30.668915218","11.915706931","4.734297314","3.134582038"
"2015-02-28","21.139520328","18.065332273","9.698047233","31.154372151","12.060950789","4.707537152","3.174240074"
"2015-03-31","20.836940336","18.208604068","9.652586656","31.197899325","12.142338371","4.702029358","3.259601887"
"2015-04-30","20.526068598","18.431818853","9.869111439","30.894017189","12.25882729","4.670945132","3.349211499"
"2015-05-31","19.677153385","16.561795878","9.933926186","33.373995275","12.328832836","4.778415903","3.345880538"
"2015-06-30","19.097691484","16.831784284","10.192036694","33.265780322","12.42352657","4.741294165","3.447886481"
"2015-07-31","18.745042086","17.415445695","9.60652916","33.49442282","12.384284688","4.748788423","3.605487129"
"2015-08-31","18.541693363","18.036208146","8.113764053","34.296902218","12.327245662","4.762681376","3.92150518"
"2015-09-30","18.619216513","17.945897751","7.478150117","34.716301313","12.297410287","4.830488706","4.112535315"
"2015-10-31","18.735384212","18.045191057","7.463220342","34.480225585","12.239662285","4.840535005","4.195781514"
"2015-11-30","18.759624276","17.74266468","7.307456226","34.819732588","12.164011935","4.882829497","4.323680799"
"2015-12-31","19.065867467","17.557465716","7.195745477","34.803855177","11.984754147","4.940560227","4.451751788"
"2016-01-31","19.383231945","17.400146238","7.013734081","34.652932327","12.08360882","4.849084517","4.617262072"
"2016-02-29","19.262771141","17.212300073","6.755917032","35.038877298","12.121031137","4.797455563","4.811647755"
"2016-03-31","19.095553934","17.570001073","6.453742733","34.974626462","12.317180951","4.669966174","4.918928674"
"2016-04-30","18.778172204","17.572516637","6.150180822","35.471957992","12.244558786","4.738099655","5.044513904"
"2016-05-31","18.119617889","18.84060947","5.797496658","35.539215398","12.017357525","4.620267721","5.065435339"
