onda,data,fechamento
202003,2020-03-31,104171.57
202004,2020-04-30,73019.76
202005,2020-05-31,80505.89
202006,2020-06-30,87402.59
202007,2020-07-31,95055.82
202008,2020-08-31,102912.24
202009,2020-09-30,99369.15
202010,2020-10-31,94603.38
202011,2020-11-30,93952.4
202012,2020-12-31,108893.32
202101,2021-01-31,119017.24
202102,2021-02-28,115067.55
202103,2021-03-31,110035.17
202104,2021-04-30,116633.72
202105,2021-05-31,118893.84
202106,2021-06-30,126215.73
202107,2021-07-31,126801.66
202108,2021-08-31,121800.79
202109,2021-09-30,118781.03
202110,2021-10-31,110979.1
202111,2021-11-30,103500.71
202112,2021-12-31,101915.45
202201,2022-01-31,104822.44
202202,2022-02-28,112143.51
202203,2022-03-31,113141.94
202204,2022-04-30,119999.23
202205,2022-05-31,107876.16
202206,2022-06-30,111350.51
202207,2022-07-31,98541.95
202208,2022-08-31,103164.69
202209,2022-09-30,109522.88
202210,2022-10-31,110036.79
202211,2022-11-30,116037.08
202212,2022-12-31,112486.01
202301,2023-01-31,109734.6
202302,2023-02-28,113430.54
202303,2023-03-31,104931.93
202304,2023-04-30,101882.2
202305,2023-05-31,104431.63
202306,2023-06-30,108335.07
202307,2023-07-31,118087
202308,2023-08-31,121942.98
202309,2023-09-30,115741.81
202310,2023-10-31,116565.17
202311,2023-11-30,113143.67
202312,2023-12-31,127331.12
202401,2024-01-31,134185.24
202402,2024-02-01,127752.28
202403,2024-03-01,129020.02
202404,2024-04-01,128106.1
202405,2024-05-01,125924.19
202406,2024-06-01,119662.38
202407,2024-07-01,129321
202408,2024-08-01,133317
202409,2024-09-01,134882
202410,2024-10-01,129992
202411,2024-11-01,127698
202412,2024-12-01,124612.22
202501,2025-01-01,119006.93
202502,2025-02-01,126224.74
202503,2025-03-01,131474.73
202504,2025-04-01,130790.96
202505,2025-05-01,139187.39
202506,2025-06-01,137055.28
202507,2025-07-01,136187.31
202508,2025-08-01,136340.77
202509,2025-09-01,144061.74
202510,2025-10-01,142603.66
202511,2025-11-01,155380.66
202512,2025-12-01,158141.66
202601,2026-01-01,178859
202602,2026-02-01,188853
202603,2026-03-01,180977.83
202604,2026-04-01,190745
202605,2026-05-01,176000
202606,2026-06-01,176001
202607,2026-07-01,174751.84
