Ativo,Data,open_price,high_price,low_price,avg_price,close_price,adj_close_price,trading_volume,number_of_trades,number_of_shares_traded
MMMC34<XBSP>,2012-05-18,26.612583824,26.612583824,26.612583824,26.612583824,42.2,26.612583824,1810380,1,42900
MMMC34<XBSP>,2012-05-21,27.154925579,27.154925579,27.154925579,27.154925579,43.06,27.154925579,4306,1,100
MMMC34<XBSP>,2012-05-22,27.482853152,27.482853152,27.482853152,27.482853152,43.58,27.482853152,4358,1,100
MMMC34<XBSP>,2012-05-23,-,-,-,-,-,-,-,-,-
MMMC34<XBSP>,2012-05-24,27.110781483,27.110781483,27.110781483,27.110781483,42.99,27.110781483,4299,1,100
MMMC34<XBSP>,2012-05-25,-,-,-,-,-,-,-,-,-
MMMC34<XBSP>,2012-05-28,-,-,-,-,-,-,-,-,-
MMMC34<XBSP>,2012-05-29,-,-,-,-,-,-,-,-,-
MMMC34<XBSP>,2012-05-30,-,-,-,-,-,-,-,-,-
MMMC34<XBSP>,2012-05-31,-,-,-,-,-,-,-,-,-
