data_pregao;macro_produto;categoria_investidor;QTD;CAPT_LIQ;COMPRA;VENDA;VOL_NEGOCIADO
2022-07-13;FUTURO;FUNDOS;160;94955685.0;33395621959.0;33300666274.0;66696288233.0
2022-07-13;FUTURO;INSTITUICAO FINANCEIRA;43;-6281731.0;4984148035.0;4990429766.0;9974577801.0
2022-07-14;FUTURO;PESSOA FISICA;111;366179183.0;118208731297.0;117842552114.0;236051283411.0
2022-07-15;FUTURO;NAO RESIDENTE;112;-622835845.0;139507404949.0;140130240794.0;279637645743.0
2022-07-22;FUTURO;INSTITUICAO FINANCEIRA;55;-40683203.0;3878647050.0;3919330253.0;7797977303.0
2022-07-25;FUTURO;PESSOA FISICA;107;-237688708.0;108345084577.0;108582773285.0;216927857862.0
2022-07-28;FUTURO;NAO RESIDENTE;113;-355950493.0;136759411005.0;137115361498.0;273874772503.0
2022-07-29;FUTURO;FUNDOS;163;961500743.0;34132036243.0;33170535500.0;67302571743.0
2022-08-01;FUTURO;PESSOA FISICA;106;177437367.0;124609427644.0;124431990277.0;249041417921.0
2022-08-02;FUTURO;FUNDOS;155;-505424733.0;38433862318.0;38939287051.0;77373149369.0
